Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41045102,Circe,Madeline Miller,"Miller, Madeline",,"=""1408890046""","=""9781408890042""",4,4.23,Bloomsbury Publishing,Paperback,337,2019,2018,2024/01/09,2022/10/25,,,read,,,,1,0
25014598,Smoke Gets in Your Eyes: And Other Lessons from the Crematory,Caitlin Doughty,"Doughty, Caitlin",,"=""""","=""9781490646268""",4,4.22,Recorded Books,Audio CD,,2014,2014,2024/01/08,2023/12/25,,,read,,,,1,0
25574782,Pretty Girls,Karin Slaughter,"Slaughter, Karin",,"=""0062430874""","=""9780062430878""",0,4.04,William Morrow,Paperback,432,2015,2015,,2024/01/02,to-read,to-read (#39),to-read,,,,0,0
58939063,"The Serial Killer’s Daughter (The Serial Killer's Family, #2)",Alice  Hunter,"Hunter, Alice",,"=""0008524181""","=""9780008524180""",0,3.85,Avon,Paperback,392,2022,2022,,2023/12/27,to-read,to-read (#37),to-read,,,,0,0
57961076,The Mermaid of Black Conch,Monique Roffey,"Roffey, Monique",,"=""1529115493""","=""9781529115499""",0,3.88,Vintage,Paperback,272,2021,2020,,2023/12/30,to-read,to-read (#38),to-read,,,,0,0
43312159,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""""","=""""",3,3.75,Faber,Paperback,321,2018,2017,2023/12/30,2023/10/15,,,read,,,,1,0
199399691,My Account: The official autobiography,Coleen Rooney,"Rooney, Coleen",,"=""1405961120""","=""9781405961127""",4,4.14,Penguin,Kindle Edition,295,2023,,2023/12/18,2023/12/14,,,read,,,,1,0
123265538,Normal People,Sally Rooney,"Rooney, Sally",,"=""""","=""""",5,3.81,Faber & Faber,Paperback,284,2023,2018,2023/12/13,2023/10/15,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2023/12/09,to-read,to-read (#36),to-read,,,,0,0
45679318,"My Sister, the Serial Killer",Oyinkan Braithwaite,"Braithwaite, Oyinkan",,"=""1786495988""","=""9781786495983""",2,3.66,Atlantic Books,Paperback,226,2019,2018,2023/12/09,2023/10/15,,,read,,,,1,0
123811685,Paris: The Memoir,Paris Hilton,"Hilton, Paris",,"=""""","=""""",3,4.22,HarperCollins Publishers,Audible Audio,,2023,2023,2023/12/02,2023/11/16,,,read,,,,1,0
825840,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0099765217""","=""9780099765219""",5,4.18,Vintage Books,Paperback,218,2006,1996,2023/12/02,2023/08/20,,,read,,,,1,0
